input	filtered	denoised_F	denoised_R	merged	nonchim
NW102AB	12507	8681	7340	7475	5463	5463
NW102C	14178	9657	8341	8529	6421	6421
NW103AB	11814	7569	6120	6233	3934	3934
NW103C	14704	10221	8559	8784	6144	6144
NW201AB	12031	8125	6965	7060	5519	5519
NW201C	12223	8188	6797	6799	4693	4693
NW203A	11458	7632	6187	6335	4239	4239
NW203BC	9621	7061	5648	5867	3977	3977
NW304A	10741	7994	6576	6743	4771	4771
NW304BC	10748	7922	6637	6699	4952	4952
NW305AB	12450	8792	7298	7578	5503	5503
NW305C	11058	8281	6905	7015	4952	4952
NW403A	11440	8350	6779	7000	5135	5135
NW403BC	8874	6462	5037	5269	3686	3686
NW404A	8916	6433	5049	5327	3549	3549
NW404BC	9195	6742	5287	5531	3592	3592
W101AB	11567	8432	7005	7190	5208	5208
W101C	11751	8259	6941	7025	5179	5179
W103AB	14242	10497	9088	9340	7156	7156
W103C	11852	8672	7069	7463	5243	5220
W204A	13755	9962	8329	8455	5976	5976
W204BC	16267	11726	10029	10169	7560	7531
W205A	11799	8612	7235	7293	5291	5291
W205BC	10697	7822	6359	6601	4611	4611
W303AB	12075	8535	7305	7409	5558	5531
W303C	14223	9818	8555	8667	6821	6781
W304AB	15329	11303	9735	9850	7319	7319
W304C	18481	13542	11881	12106	9140	9118
W403AB	16825	12146	10380	10624	7746	7746
W403C	23902	17145	15187	15428	12269	12269
W404A	17413	12745	11234	11338	8622	8622
W404BC	14841	10635	9147	9451	7493	7493
